기간,분류,가족,이웃,공공기관,종합,외국인,강력범죄수,유아기,유치원생,나이_10대,나이_20대,나이_30대,나이_40대,나이_50대,나이_60이상,남자,여자,일인당경제수준
2017,중랑구,8.9,5.75,5.25,6.633333333,4445,4571,14371,14139,33149,58678,64120,65214,72545,87893,206011,208543,0.376320093
2017,성북구,8.61,5.32,4.82,6.25,11804,3434,15733,18405,42212,64286,65327,77376,68791,94327,222474,235787,1.263692525
2017,강북구,8.53,5.8,5.45,6.593333333,3490,3393,9875,11005,27239,44013,46015,53525,54562,79318,160842,168200,NA
2017,도봉구,8.53,5.79,5.22,6.513333333,2045,1999,11291,12639,32087,47153,47692,56216,60173,78042,170134,177204,0.726678336
2017,노원구,8.74,5.62,5.1,6.486666667,3846,4209,19560,22435,65019,77305,76150,99245,90160,108558,273212,289066,0.646479144
2017,은평구,8.77,5.53,4.96,6.42,4392,3883,16998,18993,45312,65079,74011,83282,77732,106100,238733,253166,0.49674138
2017,서대문구,8.42,5.35,4.86,6.21,12297,3113,11003,11066,27246,48413,46823,51717,49582,68332,156070,170409,2.460553359
2017,마포구,8.27,5.1,4.68,6.016666667,11166,5278,14808,14703,31976,58387,68456,65210,53280,69790,184480,203296,2.49764039
2017,양천구,8.02,4.93,4.75,5.9,3897,3882,16356,20878,57863,63398,65820,86228,78509,83678,235246,241381,1.360088707
2017,강서구,8.67,5.17,5.13,6.323333333,6486,5135,25564,24136,52127,87670,108573,96513,92408,114400,296157,311720,1.185269388
2017,구로구,8.99,5.81,5.68,6.826666667,30316,4895,17349,17404,34242,55801,69932,67266,64847,86131,222088,221200,1.240577232
2017,금천구,8.73,6.08,5.03,6.613333333,18038,3265,7905,7696,18579,34818,36863,37586,42164,49997,129741,123905,1.669586747
2017,영등포구,8.62,6.03,5.65,6.766666667,33090,5969,14560,13123,27965,54393,65604,58751,57522,76900,202137,199771,7.985185664
2017,동작구,8.02,4.92,4.72,5.886666667,12202,3330,14830,14868,32170,64357,68053,62901,59444,81878,199978,210725,1.473471097
2017,관악구,8.75,5.97,5.78,6.833333333,17661,5525,15354,14864,35117,99597,93379,75742,71216,99919,263162,259687,0.611522638
